[15/Oct/2024:11:06:58 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:06:59 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:07:30 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:07:31 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:02 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:04 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:35 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/" [Client 172.18.0.1] [Length 61] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:36 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:58 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/tokens" [Client 172.18.0.1] [Length 593] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
[15/Oct/2024:11:08:59 +0000] - 200 200 - GET https proxy.thornasol.duckdns.org "/api/users/me?expand=permissions" [Client 172.18.0.1] [Length 535] [Gzip -] [Sent-to proxy] "Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0" "https://proxy.thornasol.duckdns.org/"
